goods_code_6,Description_6,indent,CODE_2,CODE_4,CODE_6,CODE_8,CODE_10,CODE_14
0302240000 80,Turbots (Psetta maxima),"- - ",03,02,24,00,00,80
0302290000 80,Other,"- - ",03,02,29,00,00,80
0302310000 10,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding edible fish offal of subheadings 0302|91|to 0302|99","- ",03,02,31,00,00,10
0302310000 80,Albacore or longfinned tuna (Thunnus alalunga),"- - ",03,02,31,00,00,80
0302320000 80,Yellowfin tuna (Thunnus albacares),"- - ",03,02,32,00,00,80
0302330000 80,Skipjack or stripe-bellied bonito,"- - ",03,02,33,00,00,80
0302340000 80,Bigeye tuna (Thunnus obesus),"- - ",03,02,34,00,00,80
0302350000 80,"Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)","- - ",03,02,35,00,00,80
0302360000 80,Southern bluefin tuna (Thunnus maccoyii),"- - ",03,02,36,00,00,80
0302390000 80,Other,"- - ",03,02,39,00,00,80
0302410000 10,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302|91|to 0302|99","- ",03,02,41,00,00,10
0302410000 80,"Herrings (Clupea harengus, Clupea pallasii)","- - ",03,02,41,00,00,80
0302420000 80,Anchovies (Engraulis spp.),"- - ",03,02,42,00,00,80
0302430000 80,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)","- - ",03,02,43,00,00,80
0302440000 80,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)","- - ",03,02,44,00,00,80
0302450000 80,Jack and horse mackerel (Trachurus spp.),"- - ",03,02,45,00,00,80
0302460000 80,Cobia (Rachycentron canadum),"- - ",03,02,46,00,00,80
0302470000 80,Swordfish (Xiphias gladius),"- - ",03,02,47,00,00,80
0302490000 80,Other,"- - ",03,02,49,00,00,80
0302510000 10,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0302|91|to 0302|99","- ",03,02,51,00,00,10
0302510000 80,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","- - ",03,02,51,00,00,80
0302520000 80,Haddock (Melanogrammus aeglefinus),"- - ",03,02,52,00,00,80
0302530000 80,Coalfish (Pollachius virens),"- - ",03,02,53,00,00,80
0302540000 80,"Hake (Merluccius spp., Urophycis spp.)","- - ",03,02,54,00,00,80
0302550000 80,Alaska pollock (Theragra chalcogramma),"- - ",03,02,55,00,00,80
0302560000 80,"Blue whiting (Micromesistius poutassou, Micromesistius australis)","- - ",03,02,56,00,00,80
0302590000 80,Other,"- - ",03,02,59,00,00,80
0302710000 10,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0302|91|to 0302|99","- ",03,02,71,00,00,10
0302710000 80,Tilapias (Oreochromis spp.),"- - ",03,02,71,00,00,80
0302720000 80,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","- - ",03,02,72,00,00,80
0302730000 80,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","- - ",03,02,73,00,00,80
0302740000 80,Eels (Anguilla spp.),"- - ",03,02,74,00,00,80
0302790000 80,Other,"- - ",03,02,79,00,00,80
0302810000 10,"Other fish, excluding edible fish offal of subheadings 0302|91|to 0302|99","- ",03,02,81,00,00,10
0302810000 80,Dogfish and other sharks,"- - ",03,02,81,00,00,80
2106900000 80,Other,"- ",21,06,90,00,00,80
2201100000 80,Mineral waters and aerated waters,"- ",22,01,10,00,00,80
2201900000 80,Other,"- ",22,01,90,00,00,80
2202100000 80,"Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured","- ",22,02,10,00,00,80
2202910000 10,Other,"- ",22,02,91,00,00,10
2202910000 80,Non-alcoholic beer,"- - ",22,02,91,00,00,80
2202990000 80,Other,"- - ",22,02,99,00,00,80
2204100000 80,Sparkling wine,"- ",22,04,10,00,00,80
2204210000 10,Other wine; grape must with fermentation prevented or arrested by the addition of alcohol,"- ",22,04,21,00,00,10
2204210000 80,In containers holding 2|litres or less,"- - ",22,04,21,00,00,80
0302820000 80,Rays and skates (Rajidae),"- - ",03,02,82,00,00,80
0302830000 80,Toothfish (Dissostichus spp.),"- - ",03,02,83,00,00,80
0302840000 80,Sea bass (Dicentrarchus spp.),"- - ",03,02,84,00,00,80
0302850000 80,Sea bream (Sparidae),"- - ",03,02,85,00,00,80
0302890000 80,Other,"- - ",03,02,89,00,00,80
0302910000 10,"Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal","- ",03,02,91,00,00,10
0302910000 80,"Livers, roes and milt","- - ",03,02,91,00,00,80
0302920000 80,Shark fins,"- - ",03,02,92,00,00,80
0302990000 80,Other,"- - ",03,02,99,00,00,80
0303110000 10,"Salmonidae, excluding edible fish offal of subheadings 0303|91|to 0303|99","- ",03,03,11,00,00,10
0303110000 80,Sockeye salmon (red salmon) (Oncorhynchus nerka),"- - ",03,03,11,00,00,80
0303120000 80,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)","- - ",03,03,12,00,00,80
0303130000 80,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),"- - ",03,03,13,00,00,80
0303140000 80,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","- - ",03,03,14,00,00,80
0303190000 80,Other,"- - ",03,03,19,00,00,80
0303230000 10,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding edible fish offal of subheadings 0303|91|to 0303|99","- ",03,03,23,00,00,10
